"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b" "mutation_rate" "lambda" "l" 
71 +7.90000e+01 +7.90000e+01 +7.90000e+01 +7.90000e+01 0.010 1.000 1.000
78 +8.00000e+01 +8.00000e+01 +8.00000e+01 +8.00000e+01 0.010 1.000 1.000
79 +8.10000e+01 +8.10000e+01 +8.10000e+01 +8.10000e+01 0.010 1.000 1.000
81 +8.20000e+01 +8.20000e+01 +8.20000e+01 +8.20000e+01 0.010 1.000 1.000
87 +8.30000e+01 +8.30000e+01 +8.30000e+01 +8.30000e+01 0.010 1.000 1.000
94 +8.40000e+01 +8.40000e+01 +8.40000e+01 +8.40000e+01 0.010 1.000 1.000
95 +8.50000e+01 +8.50000e+01 +8.50000e+01 +8.50000e+01 0.010 1.000 1.000
106 +8.60000e+01 +8.60000e+01 +8.60000e+01 +8.60000e+01 0.010 1.000 1.000
116 +8.70000e+01 +8.70000e+01 +8.70000e+01 +8.70000e+01 0.010 1.000 1.000
129 +8.80000e+01 +8.80000e+01 +8.80000e+01 +8.80000e+01 0.010 1.000 1.000
143 +8.90000e+01 +8.90000e+01 +8.90000e+01 +8.90000e+01 0.010 1.000 1.000
152 +9.00000e+01 +9.00000e+01 +9.00000e+01 +9.00000e+01 0.010 1.000 1.000
159 +9.10000e+01 +9.10000e+01 +9.10000e+01 +9.10000e+01 0.010 1.000 1.000
163 +9.20000e+01 +9.20000e+01 +9.20000e+01 +9.20000e+01 0.010 1.000 1.000
164 +9.30000e+01 +9.30000e+01 +9.30000e+01 +9.30000e+01 0.010 1.000 1.000
171 +9.40000e+01 +9.40000e+01 +9.40000e+01 +9.40000e+01 0.010 1.000 1.000
176 +9.50000e+01 +9.50000e+01 +9.50000e+01 +9.50000e+01 0.010 1.000 1.000
187 +9.60000e+01 +9.60000e+01 +9.60000e+01 +9.60000e+01 0.010 1.000 1.000
190 +9.70000e+01 +9.70000e+01 +9.70000e+01 +9.70000e+01 0.010 1.000 1.000
229 +9.80000e+01 +9.80000e+01 +9.80000e+01 +9.80000e+01 0.010 1.000 1.000
387 +9.90000e+01 +9.90000e+01 +9.90000e+01 +9.90000e+01 0.010 1.000 1.000
543 +1.00000e+02 +1.00000e+02 +1.00000e+02 +1.00000e+02 0.010 1.000 1.000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b" "mutation_rate" "lambda" "l" 
1 +5.60000e+01 +5.60000e+01 +5.60000e+01 +5.60000e+01 0.010 1.000 0.000
3 +5.70000e+01 +5.70000e+01 +5.70000e+01 +5.70000e+01 0.010 1.000 1.000
4 +5.80000e+01 +5.80000e+01 +5.80000e+01 +5.80000e+01 0.010 1.000 1.000
5 +5.90000e+01 +5.90000e+01 +5.90000e+01 +5.90000e+01 0.010 1.000 1.000
9 +6.10000e+01 +6.10000e+01 +6.10000e+01 +6.10000e+01 0.010 1.000 2.000
12 +6.20000e+01 +6.20000e+01 +6.20000e+01 +6.20000e+01 0.010 1.000 3.000
17 +6.30000e+01 +6.30000e+01 +6.30000e+01 +6.30000e+01 0.010 1.000 1.000
18 +6.40000e+01 +6.40000e+01 +6.40000e+01 +6.40000e+01 0.010 1.000 1.000
19 +6.50000e+01 +6.50000e+01 +6.50000e+01 +6.50000e+01 0.010 1.000 1.000
24 +6.60000e+01 +6.60000e+01 +6.60000e+01 +6.60000e+01 0.010 1.000 1.000
28 +6.70000e+01 +6.70000e+01 +6.70000e+01 +6.70000e+01 0.010 1.000 3.000
32 +7.00000e+01 +7.00000e+01 +7.00000e+01 +7.00000e+01 0.010 1.000 3.000
36 +7.10000e+01 +7.10000e+01 +7.10000e+01 +7.10000e+01 0.010 1.000 1.000
40 +7.20000e+01 +7.20000e+01 +7.20000e+01 +7.20000e+01 0.010 1.000 1.000
42 +7.30000e+01 +7.30000e+01 +7.30000e+01 +7.30000e+01 0.010 1.000 3.000
43 +7.50000e+01 +7.50000e+01 +7.50000e+01 +7.50000e+01 0.010 1.000 2.000
46 +7.60000e+01 +7.60000e+01 +7.60000e+01 +7.60000e+01 0.010 1.000 1.000
47 +7.70000e+01 +7.70000e+01 +7.70000e+01 +7.70000e+01 0.010 1.000 1.000
49 +7.90000e+01 +7.90000e+01 +7.90000e+01 +7.90000e+01 0.010 1.000 2.000
50 +8.00000e+01 +8.00000e+01 +8.00000e+01 +8.00000e+01 0.010 1.000 1.000
58 +8.10000e+01 +8.10000e+01 +8.10000e+01 +8.10000e+01 0.010 1.000 1.000
63 +8.20000e+01 +8.20000e+01 +8.20000e+01 +8.20000e+01 0.010 1.000 1.000
64 +8.30000e+01 +8.30000e+01 +8.30000e+01 +8.30000e+01 0.010 1.000 1.000
67 +8.40000e+01 +8.40000e+01 +8.40000e+01 +8.40000e+01 0.010 1.000 1.000
72 +8.50000e+01 +8.50000e+01 +8.50000e+01 +8.50000e+01 0.010 1.000 1.000
85 +8.60000e+01 +8.60000e+01 +8.60000e+01 +8.60000e+01 0.010 1.000 1.000
92 +8.70000e+01 +8.70000e+01 +8.70000e+01 +8.70000e+01 0.010 1.000 1.000
98 +8.80000e+01 +8.80000e+01 +8.80000e+01 +8.80000e+01 0.010 1.000 1.000
103 +8.90000e+01 +8.90000e+01 +8.90000e+01 +8.90000e+01 0.010 1.000 1.000
105 +9.00000e+01 +9.00000e+01 +9.00000e+01 +9.00000e+01 0.010 1.000 1.000
131 +9.10000e+01 +9.10000e+01 +9.10000e+01 +9.10000e+01 0.010 1.000 1.000
164 +9.20000e+01 +9.20000e+01 +9.20000e+01 +9.20000e+01 0.010 1.000 1.000
169 +9.30000e+01 +9.30000e+01 +9.30000e+01 +9.30000e+01 0.010 1.000 1.000
216 +9.40000e+01 +9.40000e+01 +9.40000e+01 +9.40000e+01 0.010 1.000 1.000
232 +9.50000e+01 +9.50000e+01 +9.50000e+01 +9.50000e+01 0.010 1.000 1.000
238 +9.60000e+01 +9.60000e+01 +9.60000e+01 +9.60000e+01 0.010 1.000 1.000
257 +9.70000e+01 +9.70000e+01 +9.70000e+01 +9.70000e+01 0.010 1.000 1.000
280 +9.80000e+01 +9.80000e+01 +9.80000e+01 +9.80000e+01 0.010 1.000 1.000
355 +9.90000e+01 +9.90000e+01 +9.90000e+01 +9.90000e+01 0.010 1.000 1.000
427 +1.00000e+02 +1.00000e+02 +1.00000e+02 +1.00000e+02 0.010 1.000 1.000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b" "mutation_rate" "lambda" "l" 
1 +5.20000e+01 +5.20000e+01 +5.20000e+01 +5.20000e+01 0.010 1.000 0.000
4 +5.30000e+01 +5.30000e+01 +5.30000e+01 +5.30000e+01 0.010 1.000 1.000
8 +5.40000e+01 +5.40000e+01 +5.40000e+01 +5.40000e+01 0.010 1.000 1.000
9 +5.50000e+01 +5.50000e+01 +5.50000e+01 +5.50000e+01 0.010 1.000 1.000
13 +5.60000e+01 +5.60000e+01 +5.60000e+01 +5.60000e+01 0.010 1.000 1.000
17 +5.80000e+01 +5.80000e+01 +5.80000e+01 +5.80000e+01 0.010 1.000 2.000
19 +5.90000e+01 +5.90000e+01 +5.90000e+01 +5.90000e+01 0.010 1.000 1.000
21 +6.00000e+01 +6.00000e+01 +6.00000e+01 +6.00000e+01 0.010 1.000 1.000
22 +6.10000e+01 +6.10000e+01 +6.10000e+01 +6.10000e+01 0.010 1.000 1.000
23 +6.30000e+01 +6.30000e+01 +6.30000e+01 +6.30000e+01 0.010 1.000 2.000
30 +6.40000e+01 +6.40000e+01 +6.40000e+01 +6.40000e+01 0.010 1.000 1.000
33 +6.50000e+01 +6.50000e+01 +6.50000e+01 +6.50000e+01 0.010 1.000 1.000
38 +6.60000e+01 +6.60000e+01 +6.60000e+01 +6.60000e+01 0.010 1.000 1.000
43 +6.70000e+01 +6.70000e+01 +6.70000e+01 +6.70000e+01 0.010 1.000 1.000
47 +6.80000e+01 +6.80000e+01 +6.80000e+01 +6.80000e+01 0.010 1.000 1.000
55 +7.00000e+01 +7.00000e+01 +7.00000e+01 +7.00000e+01 0.010 1.000 2.000
56 +7.10000e+01 +7.10000e+01 +7.10000e+01 +7.10000e+01 0.010 1.000 1.000
57 +7.30000e+01 +7.30000e+01 +7.30000e+01 +7.30000e+01 0.010 1.000 2.000
60 +7.40000e+01 +7.40000e+01 +7.40000e+01 +7.40000e+01 0.010 1.000 1.000
63 +7.50000e+01 +7.50000e+01 +7.50000e+01 +7.50000e+01 0.010 1.000 1.000
66 +7.70000e+01 +7.70000e+01 +7.70000e+01 +7.70000e+01 0.010 1.000 2.000
68 +7.80000e+01 +7.80000e+01 +7.80000e+01 +7.80000e+01 0.010 1.000 1.000
69 +7.90000e+01 +7.90000e+01 +7.90000e+01 +7.90000e+01 0.010 1.000 1.000
78 +8.00000e+01 +8.00000e+01 +8.00000e+01 +8.00000e+01 0.010 1.000 1.000
81 +8.10000e+01 +8.10000e+01 +8.10000e+01 +8.10000e+01 0.010 1.000 1.000
93 +8.20000e+01 +8.20000e+01 +8.20000e+01 +8.20000e+01 0.010 1.000 1.000
102 +8.30000e+01 +8.30000e+01 +8.30000e+01 +8.30000e+01 0.010 1.000 1.000
105 +8.40000e+01 +8.40000e+01 +8.40000e+01 +8.40000e+01 0.010 1.000 1.000
120 +8.50000e+01 +8.50000e+01 +8.50000e+01 +8.50000e+01 0.010 1.000 1.000
144 +8.60000e+01 +8.60000e+01 +8.60000e+01 +8.60000e+01 0.010 1.000 1.000
148 +8.70000e+01 +8.70000e+01 +8.70000e+01 +8.70000e+01 0.010 1.000 1.000
170 +8.80000e+01 +8.80000e+01 +8.80000e+01 +8.80000e+01 0.010 1.000 1.000
172 +8.90000e+01 +8.90000e+01 +8.90000e+01 +8.90000e+01 0.010 1.000 3.000
184 +9.00000e+01 +9.00000e+01 +9.00000e+01 +9.00000e+01 0.010 1.000 3.000
186 +9.10000e+01 +9.10000e+01 +9.10000e+01 +9.10000e+01 0.010 1.000 1.000
195 +9.20000e+01 +9.20000e+01 +9.20000e+01 +9.20000e+01 0.010 1.000 1.000
205 +9.30000e+01 +9.30000e+01 +9.30000e+01 +9.30000e+01 0.010 1.000 1.000
253 +9.40000e+01 +9.40000e+01 +9.40000e+01 +9.40000e+01 0.010 1.000 1.000
289 +9.50000e+01 +9.50000e+01 +9.50000e+01 +9.50000e+01 0.010 1.000 1.000
348 +9.60000e+01 +9.60000e+01 +9.60000e+01 +9.60000e+01 0.010 1.000 1.000
369 +9.70000e+01 +9.70000e+01 +9.70000e+01 +9.70000e+01 0.010 1.000 1.000
391 +9.80000e+01 +9.80000e+01 +9.80000e+01 +9.80000e+01 0.010 1.000 1.000
434 +9.90000e+01 +9.90000e+01 +9.90000e+01 +9.90000e+01 0.010 1.000 1.000
678 +1.00000e+02 +1.00000e+02 +1.00000e+02 +1.00000e+02 0.010 1.000 1.000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b" "mutation_rate" "lambda" "l" 
1 +5.30000e+01 +5.30000e+01 +5.30000e+01 +5.30000e+01 0.010 1.000 0.000
2 +5.60000e+01 +5.60000e+01 +5.60000e+01 +5.60000e+01 0.010 1.000 3.000
4 +5.70000e+01 +5.70000e+01 +5.70000e+01 +5.70000e+01 0.010 1.000 1.000
7 +5.80000e+01 +5.80000e+01 +5.80000e+01 +5.80000e+01 0.010 1.000 1.000
11 +5.90000e+01 +5.90000e+01 +5.90000e+01 +5.90000e+01 0.010 1.000 1.000
14 +6.00000e+01 +6.00000e+01 +6.00000e+01 +6.00000e+01 0.010 1.000 1.000
16 +6.10000e+01 +6.10000e+01 +6.10000e+01 +6.10000e+01 0.010 1.000 1.000
23 +6.20000e+01 +6.20000e+01 +6.20000e+01 +6.20000e+01 0.010 1.000 1.000
47 +6.30000e+01 +6.30000e+01 +6.30000e+01 +6.30000e+01 0.010 1.000 1.000
60 +6.40000e+01 +6.40000e+01 +6.40000e+01 +6.40000e+01 0.010 1.000 1.000
63 +6.50000e+01 +6.50000e+01 +6.50000e+01 +6.50000e+01 0.010 1.000 1.000
66 +6.60000e+01 +6.60000e+01 +6.60000e+01 +6.60000e+01 0.010 1.000 1.000
73 +6.70000e+01 +6.70000e+01 +6.70000e+01 +6.70000e+01 0.010 1.000 1.000
74 +6.90000e+01 +6.90000e+01 +6.90000e+01 +6.90000e+01 0.010 1.000 2.000
76 +7.00000e+01 +7.00000e+01 +7.00000e+01 +7.00000e+01 0.010 1.000 1.000
79 +7.30000e+01 +7.30000e+01 +7.30000e+01 +7.30000e+01 0.010 1.000 3.000
80 +7.40000e+01 +7.40000e+01 +7.40000e+01 +7.40000e+01 0.010 1.000 1.000
91 +7.50000e+01 +7.50000e+01 +7.50000e+01 +7.50000e+01 0.010 1.000 1.000
108 +7.60000e+01 +7.60000e+01 +7.60000e+01 +7.60000e+01 0.010 1.000 1.000
110 +7.80000e+01 +7.80000e+01 +7.80000e+01 +7.80000e+01 0.010 1.000 2.000
117 +7.90000e+01 +7.90000e+01 +7.90000e+01 +7.90000e+01 0.010 1.000 1.000
122 +8.00000e+01 +8.00000e+01 +8.00000e+01 +8.00000e+01 0.010 1.000 3.000
124 +8.10000e+01 +8.10000e+01 +8.10000e+01 +8.10000e+01 0.010 1.000 1.000
138 +8.30000e+01 +8.30000e+01 +8.30000e+01 +8.30000e+01 0.010 1.000 2.000
155 +8.40000e+01 +8.40000e+01 +8.40000e+01 +8.40000e+01 0.010 1.000 1.000
158 +8.50000e+01 +8.50000e+01 +8.50000e+01 +8.50000e+01 0.010 1.000 1.000
159 +8.60000e+01 +8.60000e+01 +8.60000e+01 +8.60000e+01 0.010 1.000 1.000
165 +8.70000e+01 +8.70000e+01 +8.70000e+01 +8.70000e+01 0.010 1.000 1.000
168 +8.80000e+01 +8.80000e+01 +8.80000e+01 +8.80000e+01 0.010 1.000 1.000
177 +9.00000e+01 +9.00000e+01 +9.00000e+01 +9.00000e+01 0.010 1.000 2.000
190 +9.10000e+01 +9.10000e+01 +9.10000e+01 +9.10000e+01 0.010 1.000 1.000
215 +9.20000e+01 +9.20000e+01 +9.20000e+01 +9.20000e+01 0.010 1.000 1.000
229 +9.30000e+01 +9.30000e+01 +9.30000e+01 +9.30000e+01 0.010 1.000 1.000
238 +9.40000e+01 +9.40000e+01 +9.40000e+01 +9.40000e+01 0.010 1.000 1.000
249 +9.50000e+01 +9.50000e+01 +9.50000e+01 +9.50000e+01 0.010 1.000 1.000
269 +9.60000e+01 +9.60000e+01 +9.60000e+01 +9.60000e+01 0.010 1.000 1.000
290 +9.70000e+01 +9.70000e+01 +9.70000e+01 +9.70000e+01 0.010 1.000 1.000
364 +9.80000e+01 +9.80000e+01 +9.80000e+01 +9.80000e+01 0.010 1.000 1.000
577 +9.90000e+01 +9.90000e+01 +9.90000e+01 +9.90000e+01 0.010 1.000 1.000
1103 +1.00000e+02 +1.00000e+02 +1.00000e+02 +1.00000e+02 0.010 1.000 1.000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b" "mutation_rate" "lambda" "l" 
1 +5.30000e+01 +5.30000e+01 +5.30000e+01 +5.30000e+01 0.010 1.000 0.000
9 +5.40000e+01 +5.40000e+01 +5.40000e+01 +5.40000e+01 0.010 1.000 1.000
18 +5.50000e+01 +5.50000e+01 +5.50000e+01 +5.50000e+01 0.010 1.000 1.000
20 +5.60000e+01 +5.60000e+01 +5.60000e+01 +5.60000e+01 0.010 1.000 1.000
22 +5.70000e+01 +5.70000e+01 +5.70000e+01 +5.70000e+01 0.010 1.000 3.000
23 +5.80000e+01 +5.80000e+01 +5.80000e+01 +5.80000e+01 0.010 1.000 1.000
29 +5.90000e+01 +5.90000e+01 +5.90000e+01 +5.90000e+01 0.010 1.000 1.000
30 +6.00000e+01 +6.00000e+01 +6.00000e+01 +6.00000e+01 0.010 1.000 1.000
35 +6.10000e+01 +6.10000e+01 +6.10000e+01 +6.10000e+01 0.010 1.000 1.000
37 +6.30000e+01 +6.30000e+01 +6.30000e+01 +6.30000e+01 0.010 1.000 2.000
40 +6.40000e+01 +6.40000e+01 +6.40000e+01 +6.40000e+01 0.010 1.000 1.000
43 +6.50000e+01 +6.50000e+01 +6.50000e+01 +6.50000e+01 0.010 1.000 1.000
46 +6.60000e+01 +6.60000e+01 +6.60000e+01 +6.60000e+01 0.010 1.000 1.000
51 +6.70000e+01 +6.70000e+01 +6.70000e+01 +6.70000e+01 0.010 1.000 1.000
64 +6.80000e+01 +6.80000e+01 +6.80000e+01 +6.80000e+01 0.010 1.000 1.000
68 +6.90000e+01 +6.90000e+01 +6.90000e+01 +6.90000e+01 0.010 1.000 1.000
71 +7.00000e+01 +7.00000e+01 +7.00000e+01 +7.00000e+01 0.010 1.000 1.000
78 +7.10000e+01 +7.10000e+01 +7.10000e+01 +7.10000e+01 0.010 1.000 1.000
82 +7.20000e+01 +7.20000e+01 +7.20000e+01 +7.20000e+01 0.010 1.000 1.000
84 +7.30000e+01 +7.30000e+01 +7.30000e+01 +7.30000e+01 0.010 1.000 1.000
91 +7.40000e+01 +7.40000e+01 +7.40000e+01 +7.40000e+01 0.010 1.000 1.000
97 +7.50000e+01 +7.50000e+01 +7.50000e+01 +7.50000e+01 0.010 1.000 1.000
99 +7.60000e+01 +7.60000e+01 +7.60000e+01 +7.60000e+01 0.010 1.000 1.000
101 +7.70000e+01 +7.70000e+01 +7.70000e+01 +7.70000e+01 0.010 1.000 1.000
102 +7.80000e+01 +7.80000e+01 +7.80000e+01 +7.80000e+01 0.010 1.000 1.000
109 +8.00000e+01 +8.00000e+01 +8.00000e+01 +8.00000e+01 0.010 1.000 2.000
115 +8.10000e+01 +8.10000e+01 +8.10000e+01 +8.10000e+01 0.010 1.000 3.000
118 +8.20000e+01 +8.20000e+01 +8.20000e+01 +8.20000e+01 0.010 1.000 1.000
121 +8.30000e+01 +8.30000e+01 +8.30000e+01 +8.30000e+01 0.010 1.000 1.000
124 +8.50000e+01 +8.50000e+01 +8.50000e+01 +8.50000e+01 0.010 1.000 2.000
129 +8.60000e+01 +8.60000e+01 +8.60000e+01 +8.60000e+01 0.010 1.000 1.000
159 +8.70000e+01 +8.70000e+01 +8.70000e+01 +8.70000e+01 0.010 1.000 1.000
169 +8.80000e+01 +8.80000e+01 +8.80000e+01 +8.80000e+01 0.010 1.000 1.000
173 +8.90000e+01 +8.90000e+01 +8.90000e+01 +8.90000e+01 0.010 1.000 1.000
176 +9.00000e+01 +9.00000e+01 +9.00000e+01 +9.00000e+01 0.010 1.000 1.000
192 +9.10000e+01 +9.10000e+01 +9.10000e+01 +9.10000e+01 0.010 1.000 1.000
202 +9.20000e+01 +9.20000e+01 +9.20000e+01 +9.20000e+01 0.010 1.000 1.000
288 +9.30000e+01 +9.30000e+01 +9.30000e+01 +9.30000e+01 0.010 1.000 1.000
302 +9.40000e+01 +9.40000e+01 +9.40000e+01 +9.40000e+01 0.010 1.000 1.000
306 +9.50000e+01 +9.50000e+01 +9.50000e+01 +9.50000e+01 0.010 1.000 1.000
307 +9.60000e+01 +9.60000e+01 +9.60000e+01 +9.60000e+01 0.010 1.000 1.000
329 +9.70000e+01 +9.70000e+01 +9.70000e+01 +9.70000e+01 0.010 1.000 1.000
353 +9.80000e+01 +9.80000e+01 +9.80000e+01 +9.80000e+01 0.010 1.000 1.000
391 +9.90000e+01 +9.90000e+01 +9.90000e+01 +9.90000e+01 0.010 1.000 1.000
686 +1.00000e+02 +1.00000e+02 +1.00000e+02 +1.00000e+02 0.010 1.000 1.000
